food,gram,adjusted_protein,alanine,alcohol_ethyl,arginine,ash,aspartic_acid,beta_sitosterol,betaine,caffeine,calcium,campesterol,carb,carotene_alpha,carotene_beta,cholesterol,choline,copper,cryptoxanthin_beta,cystine,dihydrophylloquinone,energy,energy_2,fat,fat_10_0,fat_12_0,fat_13_0,fat_14_0,fat_14_1,fat_15_0,fat_15_1,fat_16_0,fat_16_1_c,fat_16_1_t,fat_16_1_undifferentiated,fat_17_0,fat_17_1,fat_18_0,fat_18_1_11_t,fat_18_1_c,fat_18_1_t,fat_18_1_undifferentiated,fat_18_2_CLAs,fat_18_2_i,fat_18_2_n_6_c_c,fat_18_2_t_not_further_defined,fat_18_2_t_t,fat_18_2_undifferentiated,fat_18_3_i,fat_18_3_n_3_c_c_c,fat_18_3_n_6_c_c_c,fat_18_3_undifferentiated,fat_18_4,fat_20_0,fat_20_1,fat_20_2_n_6_c_c,fat_20_3_n_3,fat_20_3_n_6,fat_20_3_undifferentiated,fat_20_4_n_6,fat_20_4_undifferentiated,fat_20_5_n_3,fat_21_5,fat_22_0,fat_22_1_c,fat_22_1_t,fat_22_1_undifferentiated,fat_22_4,fat_22_5_n_3,fat_22_6_n_3,fat_24_0,fat_24_1_c,fat_4_0,fat_6_0,fat_8_0,fat_monounsaturated,fat_polyunsaturated,fat_saturated,fat_trans,fat_trans_monoenoic,fat_trans_polyenoic,fiber,fluoride,folate,folate_dfe,folate_food,folic_acid,food_group,food_id,fructose,galactose,glucose,glutamic_acid,glycine,histidine,hydroxyproline,iron,isoleucine,lactose,leucine,lutein_zeaxanthin,lycopene,lysine,magnesium,maltose,manganese,max_grams_day,max_grams_meal,menaquinone_4,methionine,niacin,pantothenic_acid,phenylalanine,phosphorus,phytosterols,potassium,proline,protein,retinol,riboflavin,selenium,serine,serving_size,sodium,starch,stigmasterol,sucrose,sugar,theobromine,thiamin,threonine,tocopherol_beta,tocopherol_delta,tocopherol_gamma,tocotrienol_alpha,tocotrienol_beta,tocotrienol_delta,tocotrienol_gamma,tryptophan,tyrosine,usda_name,valine,vitamin_a_iu,vitamin_a_rae,vitamin_b12,vitamin_b12_added,vitamin_b6,vitamin_c,vitamin_d,vitamin_d2,vitamin_d3,vitamin_d_d2andd3,vitamin_e_added,vitamin_e_alpha_tocopherol,vitamin_k,water,zinc
1 1/2 tbs wakame (NISHIMOTO) for salad or otherwise reconstituted,6,0,0.00816,0,0.00552,0.432,0.01074,0,0,0,9,0,0.5484,0,12.96,0,0.834,0.01704,0,0.00168,0,2.7,11.28,0.0384,0,0,0,0.00042,0,0,0,0.00702,0,0,0.00114,0,0,0.00036,0,0,0,0.0012,0,0,0,0,0,0.0006,0,0,0,0.00012,0,0,0.0012,0,0,0,0,0,0.00126,0.01116,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00348,0.01308,0.0078,0,0,0,0.03,0,11.76,11.76,11.76,0,"roots, herbs & grasses",11669,0,0,0,0.01194,0.00672,0.0009,0,0.1308,0.00522,0,0.01542,0,0,0.00672,6.42,0,0.084,-1,-1,0,0.00378,0.096,0.04182,0.00672,4.8,0,3,0.00552,0.1818,0,0.0138,0.042,0.00468,6,52.32,0,0,0,0.039,0,0.0036,0.0099,0,0,0,0,0,0,0,0.0021,0.00294,"Seaweed, wakame, raw",0.01254,21.6,1.08,0,0,0.00012,0.18,0,0,0,0,0,0.06,0.318,4.7994,0.0228
1 tbs wakame (NISHIMOTO) for ramen or udon soup,4,0,0,0,0,0,0,0,0,0,6,0,0.4,0,0,0,0,0,0,0,0,2.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,"roots, herbs & grasses",45083869,0,0,0,0,0,0,0,0.108,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,4,379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NAMA WAKAME SALTED SEAWEED, UPC: 011152003405",0,40,0,0,0,0,0.24,0,0,0,0,0,0,0,0,0
1/2 tbs wakame (NISHIMOTO) for miso soup,2,0,0,0,0,0,0,0,0,0,3,0,0.2,0,0,0,0,0,0,0,0,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,"roots, herbs & grasses",45083869,0,0,0,0,0,0,0,0.054,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,2,189.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NAMA WAKAME SALTED SEAWEED, UPC: 011152003405",0,20,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0
a dash of katsuobushi (EDEN) as a topping,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,condiments,45077225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,10,0,0.6667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BONITO FLAKES AGED AND DRIED, UPC: 024182002164",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a half cup of katsuobushi (EDEN) for dashi stock,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,liquids,45077225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,120,0,8.0004,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BONITO FLAKES AGED AND DRIED, UPC: 024182002164",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alaskan pollock p20f00,120,0,0,0,0,1.608,0,0,0,0,14.4,0,0,0,0,73.2,0,0.0492,0,0,0,84,352.8,0.228,0,0,0,0.0024,0,0,0,0.0372,0.0024,0,0.0024,0,0,0.0072,0,0.0168,0.0012,0.018,0,0,0.0024,0,0,0.0024,0,0,0,0,0.0012,0,0.0084,0,0,0.0012,0.0012,0,0.0012,0.024,0,0,0.0012,0,0.0012,0,0.0024,0.0504,0,0.0012,0,0,0,0.0516,0.0864,0.0468,0.0012,0.0012,0,0,0,0,0,0,0,proteins,15266,0,0,0,0,0,0,0,0.324,0,0,0,0,0,0,40.8,0,0.0132,-1,-1,0,0,0,0,0,228,0,397.2,0,20.604,0,0,0,0,120,190.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fish, pollock, Alaska, raw (not previously frozen)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.388,0.48
alfalfa sprouts,17,0,0,0,0,0.068,0,0,0.068,0,5.44,0,0.357,1.02,14.79,0,2.448,0.02669,1.02,0,0,3.91,16.32,0.1173,0,0,0,0.00034,0,0,0,0.01003,0,0,0,0,0,0.00136,0,0,0,0.00952,0,0,0,0,0,0.03978,0,0,0,0.02975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00952,0.06953,0.01173,0,0,0,0.323,0,6.12,6.12,6.12,0,vegetables,11001,0.0204,0,0.0136,0,0,0,0,0.1632,0.02431,0,0.04539,0,0,0.03638,4.59,0,0.03196,-1,-1,0,0,0.08177,0.09571,0,11.9,0,13.43,0,0.6783,0,0.02142,0.102,0,17,1.02,0,0,0,0.034,0,0.01292,0.02278,0,0,0,0,0,0,0,0,0,"Alfalfa seeds, sprouted, raw",0.02465,26.35,1.36,0,0,0.00578,1.394,0,0,0,0,0,0.0034,5.185,15.7794,0.1564
anise seed,1,0,0,0,0,0.0695,0,0,0,0,6.46,0,0.5002,0,0,0,0,0.0091,0,0,0,3.37,14.11,0.159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0978,0,0,0,0,0,0.0315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0978,0.0315,0.00586,0,0,0,0.146,0,0.1,0.1,0.1,0,spices,2002,0,0,0,0,0,0,0,0.3696,0,0,0,0,0,0,1.7,0,0.023,-1,-1,0,0,0.0306,0.00797,0,4.4,0,14.41,0,0.176,0,0.0029,0.05,0,1,0.16,0,0,0,0,0,0.0034,0,0,0,0,0,0,0,0,0,0,"Spices, anise seed",0,3.11,0.16,0,0,0.0065,0.21,0,0,0,0,0,0,0,0.0954,0.053
apple cider vinegar,21,0,0,0,0,0.0357,0,0,0,0,1.47,0,0.1953,0,0,0,0,0.00168,0,0,0,4.41,18.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,acids,2048,0.063,0,0.021,0,0,0,0,0.042,0,0,0,0,0,0,1.05,0,0.05229,42,-1,0,0,0,0,0,1.68,0,15.33,0,0,0,0,0.021,0,21,1.05,0,0,0,0.084,0,0,0,0,0,0,0,0,0,0,0,0,"Vinegar, cider",0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.7001,0.0084
"arugula / ""rocket""",35,0,0,0,0,0.49,0,0,0.035,0,56,0,1.2775,0,498.4,0,5.355,0.0266,0,0,0,8.75,36.75,0.231,0,0.00105,0,0,0,0,0,0.0252,0,0,0.00035,0,0,0.0014,0,0,0,0.0161,0,0,0,0,0,0.0455,0,0,0,0.0595,0,0,0,0,0,0,0,0,0.0007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01715,0.11165,0.0301,0,0,0,0.56,0,33.95,33.95,33.95,0,"roots, herbs & grasses",11959,0,0,0,0,0,0,0,0.511,0,0,0,1244.25,0,0,16.45,0,0.11235,-1,-1,0,0,0.10675,0.15295,0,18.2,0,129.15,0,0.903,0,0.0301,0.105,0,35,9.45,0,0,0,0.7175,0,0.0154,0,0,0,0,0,0,0,0,0,0,"Arugula, raw",0,830.55,41.65,0,0,0.02555,5.25,0,0,0,0,0,0.1505,38.01,32.0985,0.1645
